subject,predicate,object,relation_status,source_atom_id,evidence_source_ids
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_metacercaria,reviewed,PCMS-012,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_miracidium,reviewed,PCMS-008,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_redia,reviewed,PCMS-010,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_life_cycle_stage,stage.clonorchis_sporocyst,reviewed,PCMS-009,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_reservoir_host,host.domestic_dogs_cats_pigs,reviewed,PCMS-024,source.who_clonorchiasis_qa_2025|source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,has_second_intermediate_host,host.freshwater_fish,reviewed,PCMS-021,source.cdc_dpdx_clonorchiasis_2024
parasite.clonorchis_sinensis,transmitted_via,behavior.raw_undercooked_freshwater_fish_consumption,reviewed,W2-ATOM-005,source.who_foodborne_trematode_fact_sheet|source.cdc_dpdx_clonorchiasis_2024
pathology.clonorchis_related_biliary_pathology,occurs_in,anatomy.biliary_system,reviewed,W2-ATOM-009,source.cdc_dpdx_clonorchiasis_2024|source.hong_kim_clonorchis_cholangiocarcinoma_review_2016
stage.clonorchis_adult,parasitizes_site,anatomy.intrahepatic_small_medium_bile_ducts,reviewed,W2-ATOM-008,source.cdc_dpdx_clonorchiasis_2024|source.hong_kim_clonorchis_cholangiocarcinoma_review_2016
stage.clonorchis_adult,pathogenic_stage_for,disease.clonorchiasis,reviewed,PCMS-026,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_cercaria,develops_into,stage.clonorchis_metacercaria,reviewed,PCMS-018,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_egg,develops_into,stage.clonorchis_miracidium,reviewed,PCMS-014,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_egg,diagnostic_stage_for,host.human,reviewed,PCMS-027,source.cdc_dpdx_clonorchiasis_2024|source.who_community_diagnosis_clonorchiasis
stage.clonorchis_egg,present_in_environment,environment.freshwater_environment,reviewed,PCMS-035,source.cdc_dpdx_clonorchiasis_2024|source.who_clonorchiasis_qa_2025
stage.clonorchis_metacercaria,develops_into,stage.clonorchis_adult,reviewed,PCMS-019,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_metacercaria,infective_stage_for,host.human,reviewed,PCMS-025,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_miracidium,develops_into,stage.clonorchis_sporocyst,reviewed,PCMS-015,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_redia,develops_into,stage.clonorchis_cercaria,reviewed,PCMS-017,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
stage.clonorchis_sporocyst,develops_into,stage.clonorchis_redia,reviewed,PCMS-016,source.pmph_human_parasitology_10e_2024|source.cdc_dpdx_clonorchiasis_2024
